"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"21648","Mir222","0","0","0","0"
"21649","Chst7","257","335","202","438"
"21650","Slc9a7","139","145","82","173"
"21651","Rp2h","2555","3003","1867","4033"
"21652","Phf16","50","60","33","63"
"21653","Rgn","2","3","0","0"
"21654","Ndufb11","706","890","560","885"
"21655","Rbm10","463","644","474","828"
"21656","Uba1","5105","6202","4231","7858"
"21657","Cdk16","1304","1547","1187","2171"
"21658","Usp11","309","408","357","651"
"21659","Araf","1191","1424","1088","2074"
"21660","Syn1","10","19","24","28"
"21661","Timp1","18","0","1","7"
"21662","Cfp","1032","1031","576","828"
"21663","Elk1","297","290","271","447"
"21664","Uxt","82","58","53","97"
"21665","A230072C01Rik","202","326","196","411"
"21666","Zfp182","484","554","355","637"
"21667","Spaca5","0","0","0","0"
"21668","Zfp300","97","161","47","182"
"21669","Gm6938","0","0","0","0"
"21670","Gm5124","0","0","0","0"
"21671","Agtr2","0","0","0","0"
"21672","Slc6a14","0","0","0","0"
"21673","1700023I07Rik","0","0","0","0"
"21674","Klhl13","215","336","288","753"
"21675","Wdr44","836","910","709","1324"
"21676","Gm4907","0","3","0","0"
"21677","Gm5934","0","1","0","2"
"21678","Gm4297","0","4","0","2"
"21679","Gm5935","0","0","0","0"
"21680","Gm14632","0","0","0","0"
"21681","Gm10486","0","0","0","0"
"21682","Gm10230","0","0","0","0"
"21683","Gm14819","0","0","0","0"
"21684","Gm10147","0","0","0","0"
"21685","Gm10058","0","0","0","0"
"21686","Gm10096","0","0","0","0"
"21687","Gm5169","0","0","0","0"
"21688","Gm1993","0","0","0","0"
"21689","Gm5168","0","0","0","0"
"21690","Gm2012","0","0","0","0"
"21691","Gm2030","0","0","0","0"
"21692","Slx","0","0","0","0"
"21693","Gm14525","0","0","0","0"
"21694","Gm6121","0","0","0","0"
"21695","Gm10486","0","0","0","0"
"21696","Gm10230","0","0","0","0"
"21697","Gm14819","0","0","0","0"
"21698","Gm14632","0","0","0","0"
"21699","Gm10147","0","0","0","0"
"21700","Gm10058","0","0","0","0"
"21701","Gm4836","0","0","0","0"
"21702","Gm10096","0","0","0","0"
"21703","Gm10487","0","0","0","0"
"21704","Gm10488","0","0","0","0"
"21705","Gm10486","0","0","0","0"
"21706","Gm10230","0","0","0","0"
"21707","Gm14819","0","0","0","0"
"21708","Gm10147","0","0","0","0"
"21709","Gm14632","0","0","0","0"
