"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000033900.13","Map9",13,18,0,21,48,9,-0.697391371723868,3.50664837002251,0.562300490954242,1
"ENSMUSG00000033902.12","Mapkbp1",56,104,34,257,656,129,-1.43350285658802,0.255795407181573,0.56237857521653,1
"ENSMUSG00000033904.16","Ccp110",34,46,11,84.999,197,32,-0.142203335819571,6.2158376199875,0.562419134364122,1
"ENSMUSG00000033906.5","Zdhhc15",0,4,2,0,0,18,-1.36868734631999,0.584565569668732,0.562503039249647,1
"ENSMUSG00000033909.17","Usp36",160,288.001,109,637,1392,285,0.193211843918039,5.18698657614338,0.562575449299302,1
"ENSMUSG00000033910.13","Gucy1a1",8,17,0,8,0,10,1.26175423505854,0.961104497490278,0.562628911327778,1
"ENSMUSG00000033916.5","Chmp2a",101,125,93,315,447,157,-0.130874444450857,7.85503385083712,0.562668063401965,1
"ENSMUSG00000033917.15","Gde1",126,150,87,226,610,162,-1.73766357905725,0.57108916921246,0.562771622079468,1
"ENSMUSG00000033918.16","Parl",33,47,21,131,159,70,0.147612551712892,8.95469780477114,0.562799587011323,1
"ENSMUSG00000033931.9","Rbm34",25,55.001,11,128,235,61.001,0.157038400141934,5.69170494763411,0.562923871064136,1
"ENSMUSG00000033933.13","Vhl",137,223,85,426,1149,250,1.06575618215466,1.09405921973844,0.563079634246653,1
"ENSMUSG00000033938.5","Ndufb7",63,55,10,117,124,45,0.130521706203464,7.53886843573462,0.563094172132875,1
"ENSMUSG00000033940.8","Brk1",324,400,159,805,1264,280,-1.55933918035484,0.147856229458152,0.56315544088809,1
"ENSMUSG00000033943.15","Mga",360.999,513,233.001,1149,2076,470.999,-0.210343240027115,4.63443897286939,0.563206906657729,1
"ENSMUSG00000033948.3","Zswim5",58,47,19,81,111,47,0.138139680226812,8.07195890903338,0.563282761047139,1
"ENSMUSG00000033949.12","Trim36",150,194,114.001,644,1319,289,-1.3721453518604,0.759358246381094,0.563282914716663,1
"ENSMUSG00000033952.14","Aspm",11,5,6,11,103,1,0.301594267912925,6.73761027413429,0.563327328513075,1
"ENSMUSG00000033953.10","Ppp3r1",297,349,167,816,1418,312,-1.51244369265538,0.460384099998026,0.563344019746506,1
"ENSMUSG00000033955.13","Tnks1bp1",114,189,96,342,927,212,-0.48477906067412,2.73775778729398,0.563360320103405,1
"ENSMUSG00000033960.6","Jcad",0,9,9,24,0,19,-1.79840973934382,-0.466248858432098,0.563364457054568,1
